Question,Answer
What is the primary benefit of parallel computation in a program?,It can make the program run faster by splitting the computation into smaller pieces that run simultaneously on multiple CPU cores.
How can concurrency be beneficial even on a single CPU core?,"A program can make progress on other tasks while one part is waiting for a slow I/O operation to complete, improving overall responsiveness."
What is a major drawback of using child processes for parallelization?,Interaction between processes is very slow as it typically requires using files or other slow inter-process communication mechanisms.
What is a 'thread' in the context of a process?,A thread is a single point of execution within a process that has its own instruction counter and registers but shares memory with other threads in the same process.
Why is a context switch between threads of the same process generally faster than between different processes?,The OS does not need to flush the Translation Lookaside Buffer (TLB) because the threads share the same memory address space.
Which C function from the `pthread` library is used to start a new thread?,The `pthread_create()` function is used to start a new thread with a given entry point.
What is the purpose of the `pthread_join()` function?,It causes the calling thread to wait for a specified thread to terminate.
"How can you pass multiple arguments to a thread function in C, which only accepts a `void*` argument?",By arranging the arguments into a `struct` and passing a pointer to that `struct` as the `void*` argument.
Why is it unsafe for a thread function to return a pointer to a variable that was allocated on its stack?,"The thread's stack is deallocated when the thread exits, so the returned pointer becomes invalid and points to garbage data (a 'dangling pointer')."
"While threads within a process share most memory, what memory region is private to each thread?","Each thread gets its own stack, which is why local variables are private to that thread."
"An operation like `counter = counter + 1` is not _____, meaning it can be interrupted by a context switch.",atomic
What are the three machine instructions that typically compose the operation `counter = counter + 1`?,"1. A `mov` to load the value from memory into a register, 2. an `add` to increment the register, and 3. another `mov` to store the new value back to memory."
What is a 'critical section' in a concurrent program?,It is a piece of code that accesses a shared resource and must not be concurrently executed by more than one thread.
A _____ occurs when the result of a program depends on the unpredictable timing of multiple threads entering a critical section simultaneously.,race condition
What principle must be enforced to prevent race conditions in critical sections?,"Mutual exclusion, which ensures that if one thread is executing in a critical section, no other threads can be executing in that same section."
What is the collective term for mechanisms like locks and semaphores designed to control access to shared resources?,Synchronization primitives.
What are the two primary functions that define a lock's interface?,"A `lock()` function to acquire the lock before a critical section, and an `unlock()` function to release it after."
"In the POSIX threads library, what data type is used for a lock (mutex)?",The `pthread_mutex_t` data type is used for a mutex.
What is the trade-off associated with having a large locking scope (coarse-grained locking)?,"It provides strong protection but reduces parallelism, as more threads may have to wait even if they don't conflict."
What is the trade-off associated with having a small locking scope (fine-grained locking)?,"It increases parallelism and reduces wait times, but it can lead to higher overhead from frequent lock/unlock operations and is more complex to implement correctly."
What are the three main criteria for evaluating the quality of a lock's implementation?,"1. Mutual Exclusion (correctness), 2. Fairness (does every thread get a chance?), and 3. Performance (overhead)."
What is the fundamental flaw in a naive spin lock implementation that checks a flag and then sets it in two separate steps?,"A context switch can occur between the 'test' and 'set' operations, allowing multiple threads to believe they have acquired the lock simultaneously."
The _____ hardware instruction atomically fetches the old value at a memory location and stores a new value in its place.,test-and-set
How does a spin lock implemented with `test_and_set` work?,"A thread repeatedly calls `test_and_set` in a loop, trying to set the flag from 0 to 1; it proceeds only when the returned old value was 0."
How does the `compare_and_swap` instruction differ from `test_and_set`?,"It only updates the memory location with the new value if the current value matches an expected value, making it more powerful."
What is a major fairness issue with simple spin locks?,They do not guarantee fairness; a thread could be unlucky and spin indefinitely while other threads repeatedly acquire and release the lock (starvation).
What is the primary performance cost of a 'spin lock' on a single-core CPU?,"The spinning thread wastes its entire CPU time slice doing nothing useful, preventing the thread that holds the lock from running and releasing it."
