Question,Answer
"What is the typical layout of a program's address space, from lowest to highest address?","First static data (code, global variables), then the heap, free space, and finally the stack at the highest address."
"In a process's memory, the _____ grows downwards from high addresses, while the _____ grows upwards from low addresses.",stack; heap
What is a memory leak?,"A memory issue where dynamically allocated memory is not freed after it is no longer needed, making it inaccessible."
"In C, what function is used to prevent a memory leak after allocating memory with `malloc`?",The `free()` function is used to deallocate the memory.
What is a dangling pointer?,A pointer that references a memory location that has already been freed or deallocated.
What is the purpose of the `-g` flag when compiling a C program with `gcc` for use with Valgrind?,"It includes debugging information in the compiled program, allowing Valgrind to report errors with specific line numbers."
What type of memory error does the Valgrind message `definitely lost: 40 bytes in 1 blocks` indicate?,A memory leak.
What are the three main goals of memory virtualization provided by an OS?,"Abstraction (providing a private address space), protection (isolating processes from each other), and efficiency (fast translation and optimized memory use)."
The process of converting a virtual address generated by a program into a physical address in RAM is known as _____.,address translation
"In the 'base and bound' memory management scheme, how is a physical address calculated from a virtual address?",physical address = virtual address + base
How does the 'base and bound' scheme provide memory protection?,"It checks if the virtual address is greater than or equal to the bound; if it is, an error is triggered."
"The hardware unit on the CPU responsible for address translation and protection checks, such as with base and bound, is the _____.",Memory Management Unit (MMU)
"In a simple VM where each process occupies a same-sized contiguous slot, what is the main drawback?","Internal fragmentation, where much of the memory allocated to a process is wasted because the process doesn't need it all."
What problem with the 'base and bound' approach does segmentation aim to solve?,The problem of internal fragmentation by not allocating one large contiguous chunk of memory for the entire address space.
How does segmentation work?,"It divides a process's logical address space into segments (e.g., code, heap, stack), each with its own base and bound."
"In a segmented memory system, where is the information about each segment's base and bound stored?","In a segment table, often held in hardware registers for speed."
How can the MMU determine which segment a virtual address belongs to in a segmented system?,"By using the leading bits of the virtual address to identify the segment, with the remaining bits as the offset."
"In segmentation, what additional information is needed to correctly handle the stack segment?",A bit or flag indicating the direction of growth (typically downwards).
"What memory management problem can arise from segmentation, where free memory is broken into many small, non-contiguous chunks?",External fragmentation.
What does a 'segmentation fault' error typically indicate?,"It means the program has attempted to access memory in a way that violates the rules defined in its segment table (e.g., out of bounds, wrong permissions)."
The _____ free-space allocation strategy selects the smallest available memory block that is large enough to satisfy a request.,best fit
What is the 'worst fit' free-space allocation strategy?,"It selects the largest available memory block to satisfy a request, leaving a large remainder."
What is the 'first fit' free-space allocation strategy?,It selects the first available memory block in the free list that is large enough to satisfy the request.
